Filename,DirectLink,Module,Year
Chi1 Lia TD 1 2019.pdf,https://drive.google.com/uc?id=1DMIj6-Bc02tH_B6j0RYp7kjqqr_ypelB&export=download,Chi1,2019
Chi1 Lia Cours 2 2019.pdf,https://drive.google.com/uc?id=1haOEqX7oImkFPuXAWdhQXVspeQkGydJd&export=download,Chi1,2019
Chi1 Lia Cours 1 2019.pdf,https://drive.google.com/uc?id=1H9JrUO6Ifhy7KFUju0xhO07EgxofEoVS&export=download,Chi1,2019
Chi1 Lia Cours 1 2018.pdf,https://drive.google.com/uc?id=1vodWc9c9aFQI07ntBU16Yyin-dsTPEsZ&export=download,Chi1,2018
Chi1 Exams 2018.pdf,https://drive.google.com/uc?id=1z3CwlLJFSip3n0Ier37v9BKAE5Ts8Wwi&export=download,Chi1,2018
Chi1 EXAM 2019.pdf,https://drive.google.com/uc?id=1xNe3snuIC46ewQZsMSeoiZkFebfqjU-e&export=download,Chi1,2019
Chi1 Ato TD 3 2019.pdf,https://drive.google.com/uc?id=1yYwZNl_Ar6HxPsIWl-bpaUqWNJvOOAgi&export=download,Chi1,2019
Chi1 Ato TD 2 sol 2019.pdf,https://drive.google.com/uc?id=13D4BpbCKr4lLjCI3Y19w5XQN_6kY6icv&export=download,Chi1,2019
Chi1 Ato TD 2 2019.pdf,https://drive.google.com/uc?id=15NirYeg3akwesm4KSf8tOD33VBBzXDzF&export=download,Chi1,2019
Chi1 Ato TD 1 2019.pdf,https://drive.google.com/uc?id=1ie-kWQClbEQJzvoA-bQCUnTHC7PSMth0&export=download,Chi1,2019
